PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
6599;Aula Municipal de Formación de Personas Adultas. Distrito Ciudad Lineal.;;De lunes a jueves:   mañanas de 9:00 a 13:30 horas tardes de 16:00 a 18:00 horas   Viernes de 10 a 14:00 horas;;Bus: 15 , 28 , 110 , 113 , 210 Metro: La Elipa (L2);Programas Formativos:    Lectoescritura. Matemáticas para la vida. Español para extranjeros. Alfabetización digital.;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fe25821c3771c010VgnVCM1000000b205a0aRCRD;SANTA FELICIDAD;CALLE;NUM;39;;;;EN CENTRO CULTURAL ELIPA;MADRID;MADRID;28017;1;VENTAS;15;CIUDAD LINEAL;444837;4475071;40.42443537;-3.650283533;914 055 312;;;/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos; 
6605;Aula Municipal de Formación de Personas Adultas. Distrito San Blas - Canillejas.;;De lunes a jueves de 9 a 15:30 horas.  Viernes de 10 a 14:00 horas. (Cerrado temporalmente).;;Bus: 4 , 48, 106, 140. Metro: Alsacia (L2).;Programas Formativos:   Lectoescritura.Matemáticas para la vida.;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4555821c3771c010VgnVCM1000000b205a0aRCRD;SAN ROMAN DEL VALLE;CALLE;NUM;8;;;;EN CENTRO CULTURAL ANTONIO MACHADO;MADRID;MADRID;28037;4;ARCOS;20;SAN BLAS-CANILLEJAS;447249;4474586;40.42023163;-3.621811386;913 135 294;;;/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos; 
6602;Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Calle Doctor Martín Arévalo.;;De lunes a jueves   mañanas de 9:00 a 13:30 horas. tardes de 16:00 a 18:00 horas.   Viernes de 10 a 14:00 horas. (Cerrado temporalmente).;;Bus: 22 , 86 , 130 , 131.;Programas Formativos:   Español para extranjeros.;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=38c5821c3771c010VgnVCM1000000b205a0aRCRD;DOCTOR MARTIN AREVALO;CALLE;V;2;;;;CENTRO CULTURAL ÁGATA;MADRID;MADRID;28021;;SAN ANDRES;;VILLAVERDE;439827;4466442;40.34636268;-3.708524396;917 109 300;;;/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos; 
6603;Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Plaza Los Pinazo.;;De lunes a jueves, de 9 a 13:30 horas y de 16:00 a 18:00 horas.  Viernes, de 10 a 14:00 horas;;Metro: San Cristóbal  Bus: 59 , 79;Programas Formativos:   LectoescrituraMatemáticas para la vidaEspañol para inmigrantes;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8ee5821c3771c010VgnVCM1000000b205a0aRCRD;PINAZO;PLAZA;V;9;;;;;MADRID;MADRID;28021;2;SAN CRISTOBAL;17;VILLAVERDE;441274;4466022;40.34268218;-3.69144883;917 100 410;;;/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos; 
41816;British Council Madrid;;;Enseñanza de inglés.;Metro: Iglesia (línea 1), Rubén Darío (línea 5), Gregorio Marañón (líneas 7 y 10).  Bus: 16, 5, 61.  Bicimad: Estación 125 (calle Fernández de la Hoz, 29).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8cc1598d1351c010VgnVCM1000000b205a0aRCRD;GENERAL MARTINEZ CAMPOS;PASEO;V;31;;;;;MADRID;MADRID;28010;4;ALMAGRO;7;CHAMBERI;441144;4476296;40.43522624;-3.69391901;911 218 000;;hello@britishcouncil.es;/contenido/entidadesYorganismos/CentrosEnseñanzaIdiomas; 
5236566;Casa de Niños Daniel Vázquez Díaz;;;Planes de mejora;METRO: Valdezarza BUS: 126, 127, 132;ENSEÑANZA: Educación infantil (Primer Ciclo);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=85133ceac6b4f110VgnVCM2000000c205a0aRCRD;ARMENTEROS;CALLE;V;46;;;;;MADRID;MADRID;28039;4;VALDEZARZA;9;MONCLOA-ARAVACA;439552;4479590;40.46477711;-3.713022694;913 113 496;913 113 496;;/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas; 
5236471;Casa de Niños Giner de los Ríos;;;;BUS:  24, 102, 103, 111, 144;ENSEÑANZA: Educación infantil (Primer Ciclo);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cff7d468e4b4f110VgnVCM2000000c205a0aRCRD;MEMBEZAR;CALLE;V;25;;;;;MADRID;MADRID;28053;1;ENTREVIAS;13;PUENTE DE VALLECAS;443256;4470098;40.37952947;-3.668476504;917 860 722;917 860 722;cn.ginerdelosrios.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas; 
73983;Casa de Niños Lope de Vega;;;;METRO: Urgel  BUS: 34 , 35 , 118 , 119;ENSEÑANZA: Educación infantil (Primer Ciclo);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e26f68540e41c010VgnVCM2000000c205a0aRCRD;INGLATERRA;CALLE;NUM;8;;;;UBICADA EN C. P. LOPE DE VEGA;MADRID;MADRID;28019;3;SAN ISIDRO;11;CARABANCHEL;438731;4472019;40.39460546;-3.723240225;914 722 560;914 722 560;;/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas; 
87760;Casa de Niños Nuestra Señora de la Fuencisla;;;;BUS: 18 , 22 , 59 , 76 , 79 , 85 , 86 RENFE: Doce de Octubre;ENSEÑANZA: Educación infantil (Primer Ciclo);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fdfd38d60b41c010VgnVCM2000000c205a0aRCRD;TOMELLOSO;CALLE;NUM;40;;;;UBICADA EN C.P. NTRA. SRA FUENCISLA;MADRID;MADRID;28026;4;ALMENDRALES;12;USERA;440860;4470369;40.3799316;-3.698002522;914 752 598;914 752 598;;/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas; 
73972;Casa de Niños República de Brasil;;;Planes de mejora;BUS: 18 , 22 , 23 , 59 , 76 , 78 , 79 , 85 , 86 , 123;ENSEÑANZA: Educación infantil (Primer ciclo);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=387f68540e41c010VgnVCM2000000c205a0aRCRD;FUEROS;AVENIDA;NUM;34;;;;UBICADA EN C. P. REPUBLICA BRASIL;MADRID;MADRID;28041;3;SAN FERMIN;12;USERA;441462;4469081;40.3702436;-3.689527794;914 758 106;914 758 106;;/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas; 
73975;Casa de Niños San Miguel;;;;Metro: HortalezaBus: 107 , 120 , 125 , 172;ENSEÑANZA: Educación Infantil (Primer ciclo);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d2af68540e41c010VgnVCM2000000c205a0aRCRD;VIRGEN DEL CARMEN;AVENIDA;V;32;;;;;MADRID;MADRID;28033;4;PINAR DEL REY;16;HORTALEZA;444713;4480618;40.47440639;-3.652228215;913 820 145;913 820 145;cn.sanmiguel.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas; 
5201907;Centro  de Educación Especial Colegio Gaudem;;;;BUS: 105;Enseñanzas  Educación especial:  Educación Básica Obligatoria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b000325a3e78e110VgnVCM2000000c205a0aRCRD;PLAYA DE BARLOVENTO;CALLE;V;14;;;;;MADRID;MADRID;28042;4;TIMON;21;BARAJAS;449767;4480668;40.47329744;-3.593893757;913 886 477;913 003 202;cc.gaudem.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/CentrosPrivadosConcertadosEducacionEspecial; 
6579;Centro Bobath de educación de adultos;;;;Metro: Mirasierra (línea 9)  Bus: 64;Enseñanzas   Enseñanzas Iniciales Básicas para personas adultas Educación Secundaria Obligatoria para personas adultas;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd5a3b54d771c010VgnVCM1000000b205a0aRCRD;MIRADOR DE LA REINA;CALLE;V;115;;;;;MADRID;MADRID;28035;7;MIRASIERRA;8;FUENCARRAL-EL PARDO;438986;4482476;40.49074187;-3.71995955;913 767 190;913 763 588;secretaria@fundacionbobath.org;/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos; 
10936383;Centro Bobath de Formación Profesional;Centro Privado de Formación Profesional Específica.;;;Metro: Mirasierra (línea 9).  Bus: 64, 49.;Formación profesional de grado medio  Administración y gestión:  Gestión administrativa.;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=85c882fbbae4a610VgnVCM2000001f4a900aRCRD;MIRADOR DE LA REINA;CALLE;V;115;;;;;MADRID;MADRID;28035;7;MIRASIERRA;8;FUENCARRAL-EL PARDO;438986;4482476;40.49074187;-3.71995955;913 767 190;913 763 588;secretaria@fundacionbobath.org;/contenido/entidadesYorganismos/CentrosEducacion/CentrosFormacionProfesionalPrivadosConcertados; 
6714;Centro Cultural y Deportivo Tajamar;;;;Metro: Buenos Aires (línea 1).    Bus: 143.;Artísticas:   Clarinete, flauta travesera, percusión, piano, guitarra, viola, violín.;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d82ca4ea6871c010VgnVCM1000000b205a0aRCRD;PIO FELIPE;CALLE;V;12;;;;;MADRID;MADRID;28038;6;NUMANCIA;13;PUENTE DE VALLECAS;444787;4472033;40.39707825;-3.650608258;;;atorres@tajamar.es;/contenido/entidadesYorganismos/CentrosEnseñanzasArtisticas/ConservatoriosEscuelasMusicaDanza; 
10705142;Centro de artes plásticas Kroom Dos Diseños;;;;Metro: Avenida de América (líneas 4, 6, 7 y 9), Cartagena (línea 7).  Bus:  72, 115, 114, 1, 122, 200.  Bicimad: Estación 195 (Padre Indalencio Hernández, 1).  Aparcamiento: América (16) intercambiador Avenida de América.;Enseñanzas artísticas:   Artes plásticas y diseño: artes aplicadas a la indumentaria, estilismo de indumentaria.;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e9a506930e843610VgnVCM1000001d4a900aRCRD;PILAR DE ZARAGOZA;CALLE;V;104;;;;;MADRID;MADRID;28028;4;GUINDALERA;4;SALAMANCA;442796;4476616;40.438228;-3.674474087;914 115 998;;info@escuelademoda-kroomdos.com;; 
108359;Centro de Danza Carmen Roche;;;;Metro: Avenida América (líneas 4, 6, 7 y 9)   Bus: 72, 12, 73, C2, 115, 114, 122, 200, C1  Bicimad: Estaciones 195 (Padre Indalecio Hernández, 1) y194 (Francisco Silvela, 86)  Aparcamiento: América (16) intercambiado de avenida de América;Enseñanzas artísticas:   Danza clásica, danza contemporánea y danza española.;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=47eb15a11a81c010VgnVCM1000000b205a0aRCRD;COSLADA;CALLE;V;7;;;;;MADRID;MADRID;28028;4;GUINDALERA;4;SALAMANCA;442730;4476531;40.4374558;-3.675250916;913 610 247;;info@scaena.net / jefaturadanza@scaena.net;/contenido/entidadesYorganismos/CentrosEnseñanzasArtisticas/ConservatoriosEscuelasMusicaDanza; 
10692347;Centro de Educación Aviation and MAintenance Group;;;;Metro: San Fermín - Orcasur (línea 3).  Bus: 123, 23, 78, 18, 22, 59, 79, 85, 86.;Formación Profesional de grado medio  Transporte y mantenimiento de Vehículos:  Montaje de estructuras e instalación de sistema aeronaúticos.  Electricidad y electrónica:  Instalaciones electricas y automáticas.   Formación Profesional de grado superior  Electricidad y electrónica:  Sistemas electrotécnicos y automatizados.  Transorte y mantenimiento de vehículos:  Mantenimiento aeromecánico de aviciones con motor de turbina. Mantenimiento de sis temas electrónicos y aviónicos de aeronaves.;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b9a1a3fadcf2610VgnVCM1000001d4a900aRCRD;OROVILLA;AVENIDA;V;10;;;;;MADRID;MADRID;28041;3;SAN FERMIN;12;USERA;441182;4468699;40.36679267;-3.692769105;;;;/contenido/entidadesYorganismos/CentrosEducacion/CentrosFormacionProfesionalPrivadosConcertados; 
5756385;Centro de Educación de Adultos Cen-Taller Norte Joven Villa de Vallecas;;;;Metro: Villa de Vallecas (línea 1)  Bus: 103, 142;Enseñanzas:    Enseñanzas Iniciales Básicas para personas adultas  Educación Secundaria Obligatoria para personas adultas;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4df34c16151b9210VgnVCM1000000b205a0aRCRD;PEÑA VEIGA;CALLE;V;;;;;sin número;MADRID;MADRID;28031;1;CASCO H.VALLECAS;18;VILLA DE VALLECAS;447085;4469786;40.37698268;-3.623334353;917 787 095;917 785 046;vallecas@nortejoven.org;/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos; 
6594;Centro de Educación de Personas Adultas (CEPA)  Cultural Moratalaz;;;;Metro: Artilleros (línea 9)  Bus: 100, 20, 30, 8  Bicimad: Estación 220 (calle Arroyo de las Pilillas, 6)  Aparcamiento: Encuentro (4), plaza Encuentro;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bcab3b54d771c010VgnVCM1000000b205a0aRCRD;CORREGIDOR ALONSO DE TOBAR;CALLE;V;7;;;;;MADRID;MADRID;28030;5;FONTARRON;14;MORATALAZ;444903;4472790;40.40390157;-3.649306802;914 370 219;914 378 411;cepa.moratalaz.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos; 
6573;Centro de Educación de Personas Adultas (CEPA) Aluche;;;;Metro: Eugenia de Montijo (línea 5), Aluche (línea 5).  Bus: 17, 121, 31  Cercanías Renfe: Aluche (línea C5);;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a27a3b54d771c010VgnVCM1000000b205a0aRCRD;"OCA&amp;Ntilde;A";CALLE;V;35;;;;;MADRID;MADRID;28047;4;ALUCHE;10;LATINA;435920;4470749;40.38487436;-3.754949168;917 179 100;917 171 035;cepa.aluche.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos; 
6593;Centro de Educación de Personas Adultas (CEPA) Arganzuela;;;;Metro: Delicias (línea 3)  Bus: 19, 247, 45, 47, 8, 86, 55, 6  Cercanías Renfe: Delicias (líneas C1, y C10)  Bicimad: Estaciones 172 (calle Bustamante, 1) y 171 (calle Embajadores, 101);;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=978a3b54d771c010VgnVCM1000000b205a0aRCRD;BATALLA DEL SALADO;CALLE;V;29;;;;;MADRID;MADRID;28045;5;DELICIAS;2;ARGANZUELA;440929;4472441;40.40048841;-3.696099316;915 395 395;915 395 395;cepa.arganzuela.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos; 
6568;Centro de Educación de Personas Adultas (CEPA) Canillejas;;;;Metro: Las Musas (línea 7)    Bus: 28, 48;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8c9a3b54d771c010VgnVCM1000000b205a0aRCRD;MUSAS;CALLE;V;11;;;;;MADRID;MADRID;28022;7;CANILLEJAS;20;SAN BLAS-CANILLEJAS;448402;4476525;40.43777091;-3.608367355;917 411 860;913 200 943;cepa.canillejas.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos; 
